Number of frames: 2750
Frequency: 250
Units: mm

Frame,finger x,finger y,finger z,wrist x,wrist y,wrist z
145,272.519409180,-172.440383911,59.422000885,321.725250244,-274.435333252,169.703063965,
146,272.328765869,-171.712280273,58.020778656,321.277740479,-273.902770996,168.188049316,
147,272.147003174,-170.982635498,56.652729034,320.836151123,-273.371185303,166.715087891,
148,271.989898682,-170.255569458,55.313026428,320.393493652,-272.851348877,165.281066895,
149,271.799194336,-169.546417236,54.007827759,319.967407227,-272.332489014,163.895523071,
150,271.651428223,-168.859985352,52.713653564,319.554412842,-271.817260742,162.556884766,
151,271.533843994,-168.197174072,51.434486389,319.167907715,-271.308563232,161.258026123,
152,271.333618164,-167.557098389,50.171730042,318.760681152,-270.801666260,160.006393433,
153,271.127777100,-166.932983398,48.932300568,318.365447998,-270.301696777,158.791824341,
154,270.916503906,-166.330764771,47.707107544,317.977386475,-269.808074951,157.612487793,
155,270.758178711,-165.753585815,46.495197296,317.594085693,-269.319213867,156.466873169,
156,270.532958984,-165.190933228,45.313781738,317.217987061,-268.838470459,155.346862793,
157,270.279449463,-164.644683838,44.156936646,316.852996826,-268.368652344,154.264465332,
158,269.989746094,-164.113372803,43.027694702,316.466339111,-267.914154053,153.205108643,
159,269.641540527,-163.604125977,41.938186646,316.089508057,-267.472991943,152.165145874,
160,269.390045166,-163.107101440,40.862354279,315.699340820,-267.046966553,151.154602051,
161,269.126068115,-162.618499756,39.819160461,315.346832275,-266.630157471,150.168304443,
162,268.894866943,-162.138610840,38.804584503,314.957794189,-266.221740723,149.210800171,
163,268.650634766,-161.664550781,37.834590912,314.591461182,-265.819305420,148.280929565,
164,268.392120361,-161.189575195,36.907413483,314.249694824,-265.427947998,147.384094238,
165,268.099700928,-160.723617554,36.030979156,313.890441895,-265.046905518,146.519699097,
166,267.772308350,-160.255462646,35.202354431,313.565093994,-264.669006348,145.686676025,
167,267.444427490,-159.788925171,34.431381226,313.206604004,-264.299377441,144.884170532,
168,267.084960938,-159.324310303,33.711574554,312.880401611,-263.937011719,144.104217529,
169,266.697601318,-158.863510132,33.035213470,312.554992676,-263.582153320,143.347686768,
170,266.280731201,-158.409713745,32.399032593,312.229522705,-263.241149902,142.609161377,
171,265.846527100,-157.966766357,31.795347214,311.938385010,-262.906372070,141.893386841,
172,265.417327881,-157.543029785,31.210947037,311.639709473,-262.581329346,141.203872681,
173,264.971801758,-157.146957397,30.641057968,311.343688965,-262.271484375,140.533569336,
174,264.592590332,-156.767807007,30.071710587,311.069122314,-261.970672607,139.887496948,
175,264.231903076,-156.413635254,29.514850616,310.802215576,-261.685333252,139.254379272,
176,263.946868896,-156.085403442,28.948402405,310.503662109,-261.426147461,138.634140015,
177,263.688385010,-155.770690918,28.373126984,310.193603516,-261.189056396,138.023803711,
178,263.407348633,-155.482284546,27.790481567,309.909454346,-260.968475342,137.426177979,
179,263.156799316,-155.227188110,27.200162888,309.620727539,-260.770629883,136.834228516,
180,262.892913818,-154.994033813,26.611194611,309.320068359,-260.591400146,136.251861572,
181,262.545501709,-154.789367676,26.025720596,309.031585693,-260.432495117,135.675735474,
182,262.205047607,-154.609390259,25.457727432,308.721160889,-260.292053223,135.113922119,
183,261.831298828,-154.434753418,24.909778595,308.413848877,-260.171051025,134.557785034,
184,261.493286133,-154.260864258,24.371580124,308.121887207,-260.066619873,134.000915527,
185,261.206787109,-154.094482422,23.837188721,307.831665039,-259.976837158,133.454177856,
186,260.901275635,-153.930313110,23.327054977,307.544952393,-259.899993896,132.922958374,
187,260.607910156,-153.766738892,22.828409195,307.253082275,-259.827575684,132.405532837,
188,260.336181641,-153.608825684,22.338016510,306.972045898,-259.760986328,131.910552979,
189,260.080535889,-153.452911377,21.885334015,306.717620850,-259.703186035,131.436050415,
190,259.818572998,-153.288558960,21.457668304,306.460784912,-259.643310547,130.983795166,
191,259.578430176,-153.120971680,21.053003311,306.212371826,-259.587707520,130.556228638,
192,259.373138428,-152.945465088,20.668926239,305.981079102,-259.530761719,130.143814087,
193,259.213256836,-152.761810303,20.299861908,305.756652832,-259.470489502,129.756774902,
194,259.063110352,-152.576950073,19.944578171,305.548126221,-259.407409668,129.382888794,
195,258.917358398,-152.378952026,19.611412048,305.340332031,-259.348236084,129.028457642,
196,258.803131104,-152.174026489,19.281227112,305.113800049,-259.290344238,128.689605713,
197,258.746307373,-151.954635620,18.971662521,304.898376465,-259.234497070,128.361267090,
198,258.713562012,-151.730895996,18.670677185,304.692352295,-259.179595947,128.052505493,
199,258.690551758,-151.501541138,18.383539200,304.471069336,-259.123931885,127.747772217,
200,258.654205322,-151.267745972,18.110734940,304.271331787,-259.070190430,127.457626343,
201,258.665924072,-151.038513184,17.840566635,304.068237305,-259.016143799,127.185562134,
202,258.630889893,-150.823608398,17.578651428,303.872039795,-258.961547852,126.919181824,
203,258.581390381,-150.627853394,17.318174362,303.691528320,-258.907867432,126.668479919,
