,time,x
366,1.464,-76.115493775
367,1.468,-77.381469727
368,1.472,-78.578903199
369,1.476,-79.696502686
370,1.48,-80.74961853099998
371,1.484,-81.655441285
372,1.488,-82.422576905
373,1.492,-83.195755005
374,1.496,-83.93431091400001
375,1.5,-84.673049927
376,1.504,-85.376678467
377,1.508,-85.960540772
378,1.512,-86.48753356999998
379,1.516,-86.92039489799998
380,1.52,-87.277023316
381,1.524,-87.63911438
382,1.528,-88.16474914599999
383,1.532,-88.707931519
384,1.536,-89.148880005
385,1.54,-89.43553161699998
386,1.544,-89.58743286199999
387,1.548,-89.616516114
388,1.552,-89.59939575199999
389,1.556,-89.569259644
390,1.56,-89.48110961999998
391,1.564,-89.29029846199998
392,1.568,-89.031860352
393,1.572,-88.704193116
394,1.576,-88.32603454599999
395,1.58,-87.873657227
396,1.584,-87.39353942899999
397,1.588,-86.89830017099999
398,1.592,-86.443328858
399,1.596,-85.968109131
400,1.6,-85.46731567399999
401,1.604,-84.90481567399999
402,1.608,-84.26020813
403,1.612,-83.495132447
404,1.616,-82.58099365300001
405,1.62,-81.59048461999998
406,1.624,-80.59329223699999
407,1.628,-79.36360168499999
408,1.632,-77.74409484899999
409,1.636,-75.80198669499998
410,1.64,-73.59500122099999
411,1.644,-71.15260315
412,1.648,-68.42637634299999
413,1.652,-65.509567261
414,1.656,-62.30296325699999
415,1.66,-58.90130615300001
416,1.664,-55.28840637299999
417,1.668,-51.489944458999986
418,1.672,-47.532806397
419,1.676,-43.439712525000004
420,1.68,-39.22714233400001
421,1.684,-34.87512207099999
422,1.688,-30.451538086
423,1.692,-25.949768067000008
424,1.696,-21.380035400999986
425,1.7,-16.77697754000002
426,1.704,-12.116546631000006
427,1.708,-7.416748046999999
428,1.712,-2.695434571000021
429,1.716,2.0609130849999815
430,1.72,6.966766356999983
431,1.724,11.897521971999993
432,1.728,16.716552734000004
433,1.732,21.297149658000023
434,1.736,25.67330932599998
435,1.74,29.85720825100003
436,1.744,33.98474120999998
437,1.748,37.900878906
438,1.752,41.579437255000016
439,1.756,45.008209228
440,1.76,48.233215331999986
441,1.764,51.19473266599999
442,1.768,53.908843993999994
443,1.772,56.36322021400002
444,1.776,58.57952880800002
445,1.78,60.511627196999996
446,1.784,62.19140625
447,1.788,63.577331542000024
448,1.792,64.75546264600001
449,1.796,65.63656616200001
450,1.8,66.10580444300001
451,1.804,66.276031494
452,1.808,66.40066528300002
453,1.812,66.49981689399999
454,1.816,66.56585693300002
455,1.82,66.59698486299999
456,1.824,66.60363769500003
457,1.828,66.569976806
458,1.832,66.457183837
459,1.836,66.239257812
460,1.84,65.93048095699999
461,1.844,65.448242187
462,1.848,64.77178955
463,1.852,63.924468993999994
464,1.856,62.87097167899998
465,1.86,61.66085815399998
466,1.864,60.31378173799999
467,1.868,58.86105346599999
468,1.872,57.29989624000001
469,1.876,55.65176391599999
470,1.88,53.95382690399998
471,1.884,52.203765868999994
472,1.888,50.39508056599999
473,1.892,48.53582763600002
474,1.896,46.615692137999986
475,1.9,44.62390136700003
476,1.904,42.552825927000015
477,1.908,40.350097656
478,1.912,37.98419189399999
479,1.916,35.470062255000016
480,1.92,32.780487059999984
481,1.924,29.951751708000018
482,1.928,26.856964111000025
483,1.932,23.61770629800003
484,1.936,20.210998534999987
485,1.94,16.64431762600003
486,1.944,12.869506834999981
487,1.948,8.94476318300002
488,1.952,4.883514403999982
489,1.956,0.651519774999997
490,1.96,-3.570953369999984
491,1.964,-7.941101075000006
492,1.968,-12.472167968999997
493,1.972,-17.139801025999986
494,1.976,-21.680313111000004
495,1.98,-26.016632080999983
496,1.984,-30.16551208499999
497,1.988,-34.260498047
498,1.992,-38.25408935600001
499,1.996,-42.120086670000006
500,2.0,-45.97036743199999
501,2.004,-49.726364136
502,2.008,-53.380630494
